Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Fiji,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",82.01,89.71,92.92,96.29,100.00,102.53,105.23,107.02,108.54,110.98,109.63,105.85,110.87,114.76,117.91,2021
Fiji,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.89,0.95,0.93,0.94,0.93,0.91,0.94,0.94,0.93,0.93,0.91,0.85,0.83,0.83,0.83,2021
Indonesia,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",100.00,107.47,111.50,117.04,123.41,128.32,131.45,137.09,142.33,144.60,143.97,152.63,162.13,171.07,176.50,2021
Indonesia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3336.63,3512.75,3569.89,3765.67,4030.78,4353.33,4518.10,4695.66,4761.22,4752.31,4675.22,4758.71,4719.26,4808.32,4858.86,2021
Papua New Guinea,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",89.22,97.10,96.54,100.00,105.44,104.14,106.76,114.98,126.25,127.59,134.60,147.38,162.86,164.82,166.80,2019
Papua New Guinea,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2.01,2.14,2.09,2.12,2.20,2.15,2.18,2.31,2.47,2.46,2.56,2.69,2.78,2.71,2.69,2019
Timor-Leste,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",68.02,75.88,80.56,94.00,93.28,100.00,100.14,101.12,99.82,105.22,107.74,111.81,119.64,126.22,131.90,2020
Timor-Leste,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.42,0.46,0.44,0.49,0.45,0.46,0.43,0.41,0.39,0.42,0.35,0.41,0.46,0.42,0.43,2020
