strategy,age_group,priority
oldest,0 to 4,99
oldest,5 to 19,6
oldest,20 to 29,5
oldest,30 to 39,4
oldest,40 to 49,3
oldest,50 to 59,2
oldest,60 to 100,1
youngest,0 to 4,99
youngest,5 to 19,1
youngest,20 to 29,2
youngest,30 to 39,3
youngest,40 to 49,4
youngest,50 to 59,5
youngest,60 to 100,6
50_down,0 to 4,99
50_down,5 to 19,5
50_down,20 to 29,4
50_down,30 to 39,3
50_down,40 to 49,2
50_down,50 to 59,1
50_down,60 to 100,6
uniform,0 to 4,99
uniform,5 to 19,1
uniform,20 to 29,1
uniform,30 to 39,1
uniform,40 to 49,1
uniform,50 to 59,1
uniform,60 to 100,1
uniform_transmit,0 to 4,99
uniform_transmit,5 to 19,1
uniform_transmit,20 to 29,1
uniform_transmit,30 to 39,1
uniform_transmit,40 to 49,2
uniform_transmit,50 to 59,2
uniform_transmit,60 to 100,3
