WHO_REGION,UNICEF_REGION,WBINCOME_LONG_STATUS,WHO_LEGAL_STATUS_TITLE,DEVELOPMENT_STATUS,COVAX_STATUS,COUNTRYNAME,ISO_3_CODE,DATE,UNPOP,VACCINE_NAME,NUMBER_TARGET,N_VACC_LAST_DOSE,N_VACC_DOSE1,PARTIALLY_VACCINATED,NOT_VACCINATED,PERSONS_VACCINATED_1PLUS_DOSE_PER100,TOTAL_VACCINATIONS_PER100
WPR,EAPRO,High income,Member State,Developing,Self-financing,Republic of Korea,KOR,2022-11,51815810,Janssen - Ad26.COV 2-S,,1516636,1516636,0,,2.926975376820318,2.926975376820318
WPR,EAPRO,High income,Member State,Developing,Self-financing,Republic of Korea,KOR,2022-11,51815810,Moderna - Spikevax,,6639073,6813225,174152,,13.148930799306235,12.812832608425884
WPR,EAPRO,High income,Member State,Developing,Self-financing,Republic of Korea,KOR,2022-11,51815810,AstraZeneca - Vaxzevria,,9242971,11076305,1833334,,21.376303873277287,17.83812894172647
WPR,EAPRO,High income,Member State,Developing,Self-financing,Republic of Korea,KOR,2022-11,51815810,Pfizer BioNTech - Comirnaty,,27050301,25455330,-1594971,,49.126569670531055,52.204724774156766
WPR,EAPRO,High income,Member State,Developing,Self-financing,Republic of Korea,KOR,2022-11,51815810,Unknown Vaccine,,44678807,45113628,434821,,87.06537251854213,86.2262058626508
WPR,EAPRO,High income,Member State,Developing,Self-financing,Singapore,SGP,2022-11,5975689,Unknown Vaccine,,5120432,5161367,40935,,86.37275132624873,85.68772571664958
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Micronesia (Federated States of),FSM,2022-11,114164,Janssen - Ad26.COV 2-S,,13081,13081,0,,11.458077852913352,11.458077852913352
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Micronesia (Federated States of),FSM,2022-11,114164,Pfizer BioNTech - Comirnaty,,13455,19588,6133,,17.157773028275113,11.785676745734207
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Micronesia (Federated States of),FSM,2022-11,114164,Moderna - Spikevax,,32205,37077,4872,,32.47696296555832,28.209418030202166
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Micronesia (Federated States of),FSM,2022-11,114164,Unknown Vaccine,,66174,70204,4030,,61.49399110052206,57.963981640447074
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Mongolia,MNG,2022-11,3398366,Gamaleya - Gam-Covid-Vac,,46239,49884,3645,,1.467881917368524,1.360624488357052
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Mongolia,MNG,2022-11,3398366,SII - Covishield,,53211,99364,46153,,2.923875768531112,1.565781908128789
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Mongolia,MNG,2022-11,3398366,AstraZeneca - Vaxzevria,,56717,12280,-44437,,0.361350131210117,1.668949136143664
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Mongolia,MNG,2022-11,3398366,Pfizer BioNTech - Comirnaty,,367507,389930,22423,,11.474043702179223,10.814226601843355
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Mongolia,MNG,2022-11,3398366,Beijing CNBG - BBIBP-CorV,,1660107,1731724,71617,,50.95754842180036,48.8501532795467
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Papua New Guinea,PNG,2022-11,10142619,Beijing CNBG - BBIBP-CorV,,9428,11512,2084,,0.113501256430908,0.092954295138169
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Papua New Guinea,PNG,2022-11,10142619,SII - Covishield,,15180,77850,62670,,0.767553232552657,0.149665485807956
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Papua New Guinea,PNG,2022-11,10142619,AstraZeneca - Vaxzevria,,81508,76634,-4874,,0.755564218669754,0.803618868065536
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Papua New Guinea,PNG,2022-11,10142619,Janssen - Ad26.COV 2-S,,191698,191698,0,,1.89002465733949,1.89002465733949
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Papua New Guinea,PNG,2022-11,10142619,Unknown Vaccine,,271349,330825,59476,,3.261731511358161,2.675334644828915
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Gamaleya - Sputnik-Light,,842,842,0,,0.000728632070564,0.000728632070564
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Beijing CNBG - BBIBP-CorV,,495037,544763,49726,,0.471415430708652,0.428384601325198
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Gamaleya - Gam-Covid-Vac,,533456,581109,47653,,0.502867759968416,0.461630819281256
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Janssen - Ad26.COV 2-S,,7154094,7154094,0,,6.190857867256373,6.190857867256373
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Moderna - Spikevax,,7371295,7883229,511934,,6.821821222090958,6.378814653905521
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,AstraZeneca - Vaxzevria,,9074876,9845278,770402,,8.519697499309638,7.853023384788632
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Sinovac - CoronaVac,,22068666,23111622,1042956,,19.999844408496095,19.09731330423576
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Philippines,PHL,2022-11,115559009,Pfizer BioNTech - Comirnaty,,26750865,28873231,2122366,,24.98570319169144,23.149095195165614
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Samoa,WSM,2022-11,222382,Pfizer BioNTech - Comirnaty,,21342,27281,5939,,12.267629574336052,9.596999757174592
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Samoa,WSM,2022-11,222382,AstraZeneca - Vaxzevria,,108947,118708,9761,,53.380219622091715,48.99092552454785
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Samoa,WSM,2022-11,222382,Unknown Vaccine,,177489,191071,13582,,85.92017339532875,79.81266469408496
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Vanuatu,VUT,2022-11,326740,Moderna - Spikevax,,143,476,333,,0.145681581685744,0.043765685254331
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Vanuatu,VUT,2022-11,326740,Beijing CNBG - BBIBP-CorV,,12372,13713,1341,,4.196914978270184,3.786496908857195
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Vanuatu,VUT,2022-11,326740,Janssen - Ad26.COV 2-S,,30089,30089,0,,9.208851074248638,9.208851074248638
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Vanuatu,VUT,2022-11,326740,AstraZeneca - Vaxzevria,,88696,100012,11316,,30.609046948644185,27.14574279243435
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Vanuatu,VUT,2022-11,326740,Unknown Vaccine,,131300,144290,12990,,44.16049458284875,40.184856460794514
WPR,EAPRO,Lower middle income,Member State,Developing,AMC,Viet Nam,VNM,2022-11,98186856,Unknown Vaccine,,84433722,90044496,5610774,,91.70728106417829,85.99289705334897
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,Moderna - Spikevax,,2,0,-2,,0,0.000011927593306
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,Pfizer BioNTech - Comirnaty,,412,253,-159,,0.001508840553245,0.002457084221094
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,SII - Covishield,,157736,165656,7920,,0.987938698372754,0.940705428879876
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,AstraZeneca - Vaxzevria,,184513,184513,0,,1.100398011861037,1.100398011861037
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,Janssen - Ad26.COV 2-S,,1053151,4158876,3105725,,24.80269076962915,6.28077840905228
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,Beijing CNBG - BBIBP-CorV,,3593906,3746454,152548,,22.34308982634736,21.433324574503985
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Cambodia,KHM,2022-11,16767842,Sinovac - CoronaVac,,9588908,10061748,472840,,60.0062190471499,57.186297437678625
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Kiribati,KIR,2022-11,131232,Unknown Vaccine,,70464,93685,23221,,71.38883808827116,53.694220921726405
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,Gamaleya - Gam-Covid-Vac,,500,500,0,,0.006640569229594,0.006640569229594
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,Gamaleya - Sputnik-Light,,22404,22404,0,,0.297550626039664,0.297550626039664
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,Pfizer BioNTech - Comirnaty,,76184,71157,-5027,,0.945045969340492,1.011810252374834
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,Sinovac - CoronaVac,,503776,662658,158882,,8.80085264908908,6.690718808416257
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,SII - Covishield,,1024813,1134486,109673,,15.067265646011176,13.610683347776572
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,Janssen - Ad26.COV 2-S,,1030411,1030411,0,,13.68503116087111,13.68503116087111
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Lao People's Democratic Republic,LAO,2022-11,7529475,Beijing CNBG - BBIBP-CorV,,2635449,3017640,382191,,40.07769465998626,35.001763071130455
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Solomon Islands,SLB,2022-11,724273,Janssen - Ad26.COV 2-S,,2506,2506,0,,0.346002129031456,0.346002129031456
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Solomon Islands,SLB,2022-11,724273,Pfizer BioNTech - Comirnaty,,19891,40059,20168,,5.530925493563891,2.746340123130367
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Solomon Islands,SLB,2022-11,724273,Beijing CNBG - BBIBP-CorV,,25606,36239,10633,,5.003500061440921,3.535407229042088
WPR,EAPRO,Lower middle income,Member State,Least developed,AMC,Solomon Islands,SLB,2022-11,724273,SII - Covishield,,164170,237165,72995,,32.74524937420006,22.66686732765131
WPR,EAPRO,Upper middle income,Member State,Developing,AMC,Fiji,FJI,2022-11,929766,Unknown Vaccine,,638724,710182,71458,,76.38287483087143,68.69728512335361
WPR,EAPRO,Upper middle income,Member State,Developing,AMC,Marshall Islands,MHL,2022-11,41569,Janssen - Ad26.COV 2-S,,2899,2899,0,,6.973946931607688,6.973946931607688
WPR,EAPRO,Upper middle income,Member State,Developing,AMC,Marshall Islands,MHL,2022-11,41569,Pfizer BioNTech - Comirnaty,,5399,9871,4472,,23.74606076643653,12.988043975077582
WPR,EAPRO,Upper middle income,Member State,Developing,AMC,Marshall Islands,MHL,2022-11,41569,Moderna - Spikevax,,20779,23813,3034,,57.28547715845943,49.986768986504366
