"","setting","booster_vax_scenario","long_COVID_off","long_COVID_on"
"1","Fiji","all adults",2089.57695638305,5048.93786341993
"2","Fiji","high-risk adults",2822.76003703751,3428.63458028804
"3","Indonesia","all adults",487602.101732699,1709390.6811807
"4","Indonesia","high-risk adults",388751.572315864,515027.866573535
"5","Papua New Guinea","all adults",733.467878858833,2161.23901396807
"6","Papua New Guinea","high-risk adults",118.989142452932,220.782590162499
"7","Timor-Leste","all adults",1417.02992801559,7499.5399391715
"8","Timor-Leste","high-risk adults",654.680481436347,925.079132374459
